Date,ClosingPrice,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,GBTC,TotalETF
11/1/2024,46368.58594,111.7,227,237.9,65.3,17.4,50.1,29.4,10.6,1,-95.1,655.3
12/1/2024,42853.16797,386,195.3,17.4,39.8,28.4,0,20.2,0,0,-484.1,203
16-01-2024,43154.94531,212.7,102,50.2,122.3,31.9,0,15.3,7.3,0,-594.4,-52.7
17-01-2024,42742.65234,371.4,358.1,68.2,50.3,57.6,1.2,1.2,4.8,1.6,-460.6,453.8
18-01-2024,41262.05859,145.5,177.9,20.1,41.8,58.8,0,9.3,2.3,0,-582.3,-126.6
19-01-2024,41618.40625,201.5,222.3,56.7,62.6,63.4,0,10.4,14.2,2.9,-590.4,43.6
22-01-2024,39507.36719,260.6,158.7,41.6,65,5.6,4.7,9.7,6.8,0.4,-640.5,-87.4
23-01-2024,39845.55078,160.1,157.7,26.3,61.8,0,1.1,0,2.2,0,-515.3,-106.1
24-01-2024,40077.07422,66.2,125.7,19.1,24.9,19.9,1.2,9.1,4.5,0.4,-429.3,-158.3
25-01-2024,39933.80859,170.7,101,20,16.1,0,0,6.5,0,0,-394.1,-79.8
26-01-2024,41816.87109,87.1,100.1,30.9,46.4,0,1.2,1.8,2.4,0,-255.1,14.8
29-01-2024,43288.24609,198.4,208.2,20,17.2,3,0,0,0,0,-191.7,255.1
30-01-2024,42952.60938,299.2,119.2,21.9,16.8,6.3,2.5,0,0,2.1,-220.7,247.3
31-01-2024,42582.60547,116.2,232,17.8,14.8,1.5,0,0.6,2.4,0,-187.7,197.6
1/2/2024,43075.77344,163.9,35.8,4.2,15.9,0,0,0,0,0.7,-182,38.5
2/2/2024,43185.85938,105.8,78.9,11.5,22.6,0,2.5,0,2.4,0.9,-144.6,80
5/2/2024,42658.66797,137.3,38,0,0,0,0,0,0,0.7,-107.9,68.1
6/2/2024,43084.67188,45.2,37.7,11.3,8.6,0,0,0,2.4,1.1,-72.7,33.6
7/2/2024,44318.22266,56.2,130.1,21.4,3.3,8.6,5.1,1.2,0,0.9,-80.8,146
8/2/2024,45301.56641,204.1,128.3,60.5,86.4,13.4,0,1.9,10.3,1.7,-101.6,405
9/2/2024,47147.19922,250.7,188.4,29.1,136.5,-17.4,1.4,1.4,2.7,0.5,-51.8,541.5
12/2/2024,49958.22266,374.7,151.9,33,40,-20.8,0,1.1,8.5,0,-95,493.4
13-02-2024,49742.44141,493.1,163.6,10.8,40,0,0,0,0,1.6,-72.8,636.3
